cidade,lat,lon,regiao
Casa Grande,-20.7925,-43.9343,Metropolitana de Belo Horizonte
Cascalho Rico,-18.5772,-47.8716,Triângulo Mineiro/Alto Paranaíba
Cássia,-20.5831,-46.9201,Sul/Sudoeste de Minas
Cataguases,-21.3924,-42.6896,Zona da Mata
Catas Altas,-20.0734,-43.4061,Metropolitana de Belo Horizonte
Catas Altas da Noruega,-20.6901,-43.4939,Metropolitana de Belo Horizonte
Catuji,-17.3018,-41.5276,Vale do Mucuri
Catuti,-15.3616,-42.9627,Norte de Minas
Caxambu,-21.9753,-44.9319,Sul/Sudoeste de Minas
Cedro do Abaeté,-19.1458,-45.712,Central Mineira
Central de Minas,-18.7612,-41.3143,Vale do Rio Doce
Centralina,-18.5852,-49.2014,Triângulo Mineiro/Alto Paranaíba
Chácara,-21.6733,-43.215,Zona da Mata
Chalé,-20.0453,-41.6897,Zona da Mata
Chapada do Norte,-17.0881,-42.5392,Jequitinhonha
Chapada Gaúcha,-15.3014,-45.6116,Norte de Minas
Chiador,-21.9996,-43.0617,Zona da Mata
Cipotânea,-20.9026,-43.3629,Zona da Mata
Claraval,-20.397,-47.2768,Sul/Sudoeste de Minas
Claro dos Poções,-17.082,-44.2061,Norte de Minas
Cláudio,-20.4437,-44.7673,Oeste de Minas
Coimbra,-20.8535,-42.8008,Zona da Mata
Coluna,-18.2311,-42.8352,Vale do Rio Doce
Comendador Gomes,-19.6973,-49.0789,Triângulo Mineiro/Alto Paranaíba
Comercinho,-16.2963,-41.7945,Jequitinhonha
Conceição da Aparecida,-21.096,-46.2049,Sul/Sudoeste de Minas
Conceição da Barra de Minas,-21.1316,-44.4729,Campo das Vertentes
Conceição das Alagoas,-19.9172,-48.3839,Triângulo Mineiro/Alto Paranaíba
Conceição das Pedras,-22.1576,-45.4562,Sul/Sudoeste de Minas
Conceição de Ipanema,-19.9326,-41.6908,Vale do Rio Doce
Conceição do Mato Dentro,-19.0344,-43.4221,Metropolitana de Belo Horizonte
Conceição do Pará,-19.7456,-44.8945,Oeste de Minas
Conceição do Rio Verde,-21.8778,-45.087,Sul/Sudoeste de Minas
Conceição dos Ouros,-22.4078,-45.7996,Sul/Sudoeste de Minas
Cônego Marinho,-15.2892,-44.4181,Norte de Minas
Confins,-19.6282,-43.9931,Metropolitana de Belo Horizonte
Congonhal,-22.1488,-46.043,Sul/Sudoeste de Minas
Congonhas,-20.4958,-43.851,Metropolitana de Belo Horizonte
Congonhas do Norte,-18.8021,-43.6767,Metropolitana de Belo Horizonte
Conquista,-19.9312,-47.5492,Triângulo Mineiro/Alto Paranaíba
Conselheiro Lafaiete,-20.6634,-43.7846,Metropolitana de Belo Horizonte
Conselheiro Pena,-19.1789,-41.4736,Vale do Rio Doce
Consolação,-22.5493,-45.9255,Sul/Sudoeste de Minas
Contagem,-19.9321,-44.0539,Metropolitana de Belo Horizonte
Coqueiral,-21.1858,-45.4366,Sul/Sudoeste de Minas
Coração de Jesus,-16.6841,-44.3635,Norte de Minas
Cordisburgo,-19.1224,-44.3224,Metropolitana de Belo Horizonte
Cordislândia,-21.7891,-45.6999,Sul/Sudoeste de Minas
Corinto,-18.369,-44.4542,Central Mineira
Coroaci,-18.6156,-42.2791,Vale do Rio Doce
Coromandel,-18.4734,-47.1933,Triângulo Mineiro/Alto Paranaíba
Coronel Fabriciano,-19.5179,-42.6276,Vale do Rio Doce
Coronel Murta,-16.6148,-42.184,Jequitinhonha
Coronel Pacheco,-21.5898,-43.256,Zona da Mata
Coronel Xavier Chaves,-21.0277,-44.2206,Campo das Vertentes
Córrego Danta,-19.8198,-45.9032,Oeste de Minas
Córrego do Bom Jesus,-22.6269,-46.0241,Sul/Sudoeste de Minas
Córrego Fundo,-20.4474,-45.5617,Oeste de Minas
Córrego Novo,-19.8361,-42.3988,Vale do Rio Doce
Couto de Magalhães de Minas,-18.0727,-43.4648,Jequitinhonha
Crisólita,-17.2381,-40.9184,Vale do Mucuri
Cristais,-20.8733,-45.5167,Oeste de Minas
Cristália,-16.716,-42.8571,Norte de Minas
Cristiano Otoni,-20.8324,-43.8166,Metropolitana de Belo Horizonte
Cristina,-22.208,-45.2673,Sul/Sudoeste de Minas
Crucilândia,-20.3923,-44.3334,Metropolitana de Belo Horizonte
Cruzeiro da Fortaleza,-18.944,-46.6669,Triângulo Mineiro/Alto Paranaíba
Cruzília,-21.84,-44.8067,Sul/Sudoeste de Minas
Cuparaque,-18.9648,-41.0986,Vale do Rio Doce
Curral de Dentro,-15.9327,-41.8557,Norte de Minas
Curvelo,-18.7527,-44.4303,Central Mineira
Datas,-18.4478,-43.6591,Jequitinhonha
Delfim Moreira,-22.5036,-45.2792,Sul/Sudoeste de Minas
Delfinópolis,-20.3468,-46.8456,Sul/Sudoeste de Minas
Delta,-19.9721,-47.7841,Triângulo Mineiro/Alto Paranaíba
Descoberto,-21.46,-42.9618,Zona da Mata
Desterro de Entre Rios,-20.665,-44.3334,Metropolitana de Belo Horizonte
Desterro do Melo,-21.143,-43.5178,Campo das Vertentes
Diamantina,-18.2413,-43.6031,Jequitinhonha
Diogo de Vasconcelos,-20.4879,-43.1953,Metropolitana de Belo Horizonte
Dionísio,-19.8433,-42.7701,Metropolitana de Belo Horizonte
Divinésia,-20.9917,-43.0003,Zona da Mata
Divino,-20.6134,-42.1438,Zona da Mata
Divino das Laranjeiras,-18.7755,-41.4781,Vale do Rio Doce
Divinolândia de Minas,-18.8004,-42.6103,Vale do Rio Doce
Divinópolis,-20.1446,-44.8912,Oeste de Minas
Divisa Alegre,-15.7221,-41.3463,Norte de Minas
Divisa Nova,-21.5092,-46.1904,Sul/Sudoeste de Minas
